t,cn_Emod,cn_Etrue,sav_Emod,sav_Etrue
0.93,0.3261788344,1.055479483,0.04200469667,1.197503591
0.94,0.3261178775,1.055388061,0.04047426031,1.196970116
0.95,0.3260505361,1.055288569,0.03919512239,1.196520295
0.96,0.3259758383,1.055179931,0.03811416395,1.196132644
0.97,0.3258926182,1.055060878,0.03718583239,1.195789312
0.98,0.3257994682,1.054929901,0.03637157573,1.195475587
0.99,0.3256946763,1.054785201,0.03563893155,1.195179345
1,0.3255761453,1.054624611,0.03496048535,1.194890503
1.01,0.3254412849,1.054445503,0.03431282681,1.194600515
1.02,0.3252868698,1.054244669,0.03367557224,1.194301942
1.03,0.3251088468,1.054018157,0.03303048112,1.193988064
1.04,0.3249020749,1.053761053,0.03236067156,1.193652569
1.05,0.3246599674,1.053467198,0.03164992697,1.193289273
1.06,0.3243739969,1.053128783,0.03088208202,1.192891888
1.07,0.3240330024,1.05273582,0.03004047675,1.192453823
1.08,0.3236222106,1.052275391,0.02910747298,1.191968016
1.09,0.3231218419,1.051730611,0.02806403536,1.191426796
1.1,0.3225051149,1.051079187,0.02688939228,1.190821791
1.11,0.3217353804,1.050291402,0.02556080757,1.190143885
1.12,0.3207620243,1.049327347,0.02405351557,1.189383259
1.13,0.3195146984,1.04813319,0.02234089645,1.188529541
1.14,0.3178954718,1.046636431,0.02039499631,1.187572102
1.15,0.3157689217,1.044740555,0.01818751953,1.186500567
1.16,0.3129515934,1.042320733,0.01569143121,1.185305563
1.17,0.3092057928,1.03922494,0.01288328727,1.183979759
1.18,0.3042495692,1.035289413,0.009746338252,1.182519185
1.19,0.2978038436,1.030381726,0.006274308076,1.180924765
1.2,0.2896984521,1.024480015,0.002475522566,1.179203892
1.21,0.2800265694,1.017767438,-0.001623223798,1.17737179
1.22,0.2692596386,1.010670562,-0.005973945783,1.175452267
1.23,0.2581871722,1.003764174,-0.0105069031,1.173477501
1.24,0.247659398,0.9975707402,-0.01513305019,1.171486559
1.25,0.2383114026,0.9923989254,-0.01974982881,1.16952262
1.26,0.2304517574,0.9883188429,-0.02424980315,1.167629226
1.27,0.2241118487,0.9852350972,-0.02853076648,1.165846175
1.28,0.2191515254,0.982975298,-0.03250539554,1.164205883
1.29,0.2153529744,0.9813532507,-0.03610856828,1.162730886
1.3,0.2124844488,0.9802028946,-0.03930110405,1.161432893
1.31,0.2103354811,0.9793909435,-0.04206966366,1.16031334
1.32,0.2087311176,0.9788172113,-0.04442346574,1.159365109
1.33,0.2075335746,0.9784094844,-0.04638902935,1.158574861
1.34,0.2066379038,0.9781170512,-0.04800425078,1.157925466
1.35,0.205965739,0.9779048229,-0.04931286969,1.157398164
1.36,0.2054591846,0.9777486771,-0.05035996691,1.156974231
1.37,0.2050756565,0.9776320358,-0.05118873551,1.156636126
1.38,0.2047838392,0.9775434565,-0.05183847219,1.156368142
1.39,0.2045606481,0.977474982,-0.05234357336,1.156156697
1.4,0.204388998,0.9774210245,-0.05273326501,1.155990352
1.41,0.2042561846,0.9773776172,-0.05303181031,1.155859671
1.42,0.2041527152,0.9773419124,-0.05325898732,1.155756995
1.43,0.2040714637,0.9773118426,-0.05343068644,1.155676188
1.44,0.2040070576,0.9772858908,-0.05355952895,1.155612378
1.45,0.2039554309,0.9772629331,-0.05365544872,1.155561731
1.46,0.203913496,0.9772421288,-0.05372620802,1.155521241
1.47,0.2038789015,0.9772228439,-0.05377783735,1.155488569
1.48,0.2038498517,0.977204596,-0.05381499993,1.155461892
1.49,0.2038249721,0.9771870151,-0.05384128784,1.155439799
1.5,0.2038032078,0.9771698145,-0.05385945901,1.155421195
1.51,0.2037837474,0.9771527699,-0.05387162468,1.155405233
1.52,0.2037659648,0.9771357037,-0.05387939648,1.155391259
1.53,0.2037493753,0.9771184732,-0.05388400119,1.155378764
1.54,0.2037336022,0.9771009614,-0.05388636969,1.155367354
1.55,0.2037183509,0.9770830709,-0.0538872059,1.155356726
1.56,0.2037033893,0.9770647184,-0.05388703988,1.155346643
1.57,0.2036885332,0.9770458306,-0.05388626885,1.155336919
1.58,0.2036736341,0.9770263415,-0.05388518864,1.155327412
1.59,0.203658571,0.9770061899,-0.05388401798,1.155318009
1.6,0.2036432427,0.9769853173,-0.05388291713,1.15530862
1.61,0.2036275635,0.9769636668,-0.05388200217,1.155299177
1.62,0.203611458,0.9769411813,-0.05388135599,1.155289623
1.63,0.2035948587,0.9769178031,-0.05388103675,1.155279913
1.64,0.2035777029,0.9768934727,-0.05388108431,1.15527001
1.65,0.2035599308,0.9768681279,-0.05388152521,1.155259883
1.66,0.2035414841,0.9768417032,-0.05388237643,1.155249507
1.67,0.2035223039,0.9768141293,-0.05388364831,1.155238859
1.68,0.2035023305,0.9767853323,-0.05388534674,1.155227919
1.69,0.2034815015,0.9767552328,-0.05388747484,1.155216668
1.7,0.2034597511,0.9767237455,-0.05389003422,1.155205091
1.71,0.2034370095,0.9766907784,-0.05389302595,1.155193169
1.72,0.2034132015,0.976656232,-0.05389645132,1.155180887
1.73,0.203388246,0.9766199983,-0.05390031231,1.155168229
1.74,0.2033620548,0.9765819597,-0.05390461207,1.155155178
1.75,0.2033345316,0.9765419884,-0.05390935523,1.155141718
1.76,0.2033055709,0.9764999447,-0.05391454809,1.155127831
1.77,0.2032750569,0.9764556758,-0.05392019885,1.1551135
1.78,0.2032428615,0.9764090142,-0.05392631774,1.155098704
1.79,0.2032088434,0.976359776,-0.05393291717,1.155083423
1.8,0.2031728457,0.9763077586,-0.05394001181,1.155067638
1.81,0.2031346941,0.9762527386,-0.05394761869,1.155051324
1.82,0.2030941942,0.976194469,-0.05395575735,1.155034459
1.83,0.2030511284,0.976132676,-0.0539644499,1.155017017
1.84,0.2030052532,0.9760670555,-0.05397372116,1.15499897
1.85,0.2029562943,0.9759972686,-0.05398359879,1.154980291
1.86,0.2029039426,0.9759229372,-0.05399411346,1.154960949
1.87,0.2028478484,0.9758436375,-0.05400529896,1.154940911
1.88,0.2027876146,0.9757588938,-0.05401719243,1.154920144
1.89,0.202722789,0.9756681701,-0.05402983457,1.15489861
1.9,0.2026528547,0.975570861,-0.05404326988,1.154876269
1.91,0.2025772188,0.9754662797,-0.05405754691,1.154853081
1.92,0.2024951984,0.9753536452,-0.05407271859,1.154829
1.93,0.2024060039,0.9752320655,-0.05408884254,1.154803979
1.94,0.2023087184,0.9751005184,-0.05410598149,1.154777966
1.95,0.2022022725,0.9749578274,-0.05412420368,1.154750906
1.96,0.2020854131,0.974802633,-0.05414358333,1.154722741
1.97,0.2019566648,0.9746333575,-0.05416420121,1.154693409
1.98,0.2018142816,0.974448161,-0.05418614519,1.15466284
1.99,0.2016561866,0.9742448882,-0.05420951093,1.154630964
2,0.2014798953,0.9740210013,-0.05423440261,1.154597702
2.01,0.2012824193,0.973773497,-0.05426093376,1.15456297
2.02,0.2010601419,0.9734988013,-0.05428922819,1.154526678
2.03,0.2008086606,0.9731926383,-0.05431942098,1.154488729
2.04,0.2005225818,0.9728498631,-0.05435165968,1.154449018
2.05,0.2001952563,0.9724642493,-0.05438610557,1.154407432
2.06,0.1998184351,0.9720282189,-0.05442293509,1.154363847
2.07,0.1993818195,0.9715324973,-0.05446234145,1.154318133
2.08,0.1988724743,0.9709656725,-0.05450453648,1.154270145
2.09,0.1982740607,0.9703136355,-0.05454975257,1.154219727
2.1,0.1975658395,0.9695588731,-0.05459824501,1.154166711
