scheme,dt,L2_error,rate
cn,0.003125,0.001706421781,nan
cn,0.0015625,0.0004380268581,1.961883047
cn,0.00078125,0.0001109752043,1.980781969
cn,0.000390625,2.792581369e-05,1.990566141
cn,0.0001953125,6.999888447e-06,1.996195482
sav,0.003125,0.00247388611,nan
sav,0.0015625,0.0006389919511,1.952909421
sav,0.00078125,0.0001606654325,1.991738195
sav,0.000390625,3.986786702e-05,2.010761237
sav,0.0001953125,1.016244588e-05,1.971978752
