t,E_true,E_mod,mass
0.58,8.85669353,5.927752485,-0.008422930662
0.585,8.851937773,5.916896521,-0.008422930662
0.59,8.84719444,5.906084566,-0.008422930662
0.595,8.842463558,5.895315744,-0.008422930662
0.6,8.837745243,5.884589444,-0.008422930662
0.605,8.833039694,5.873905307,-0.008422930662
0.61,8.828347193,5.863263209,-0.008422930662
0.615,8.823668095,5.852663247,-0.008422930662
0.62,8.819002824,5.842105727,-0.008422930662
0.625,8.814351871,5.831591152,-0.008422930662
0.63,8.809715788,5.821120205,-0.008422930662
0.635,8.805095183,5.810693743,-0.008422930662
0.64,8.800490717,5.800312781,-0.008422930662
0.645,8.795903096,5.789978481,-0.008422930662
0.65,8.791333072,5.779692142,-0.008422930662
0.655,8.786781432,5.769455183,-0.008422930662
0.66,8.782248997,5.759269136,-0.008422930662
0.665,8.777736616,5.749135631,-0.008422930662
0.67,8.77324516,5.739056381,-0.008422930662
0.675,8.768775517,5.729033171,-0.008422930662
0.68,8.764328586,5.719067844,-0.008422930662
0.685,8.759905272,5.709162288,-0.008422930662
0.69,8.75550648,5.699318417,-0.008422930662
0.695,8.75113311,5.689538165,-0.008422930662
0.7,8.746786051,5.679823466,-0.008422930662
0.705,8.742466174,5.670176241,-0.008422930662
0.71,8.738174328,5.660598387,-0.008422930662
0.715,8.733911338,5.65109176,-0.008422930662
0.72,8.729677993,5.641658166,-0.008422930662
0.725,8.725475048,5.632299347,-0.008422930662
0.73,8.721303217,5.623016968,-0.008422930662
0.735,8.717163169,5.613812609,-0.008422930662
0.74,8.713055527,5.604687757,-0.008422930662
0.745,8.708980861,5.595643791,-0.008422930662
0.75,8.704939691,5.586681981,-0.008422930662
0.755,8.700932479,5.57780348,-0.008422930662
0.76,8.696959635,5.569009317,-0.008422930662
0.765,8.693021508,5.560300392,-0.008422930662
0.77,8.689118392,5.551677479,-0.008422930662
0.775,8.685250524,5.543141217,-0.008422930662
0.78,8.681418082,5.534692117,-0.008422930662
0.785,8.677621191,5.526330554,-0.008422930662
0.79,8.67385992,5.518056778,-0.008422930662
0.795,8.670134288,5.50987091,-0.008422930662
0.8,8.666444262,5.501772946,-0.008422930662
0.805,8.66278976,5.493762767,-0.008422930662
0.81,8.659170659,5.485840136,-0.008422930662
0.815,8.655586789,5.478004711,-0.008422930662
0.82,8.652037946,5.470256048,-0.008422930662
0.825,8.648523885,5.462593606,-0.008422930662
0.83,8.645044332,5.455016758,-0.008422930662
0.835,8.641598983,5.447524797,-0.008422930662
0.84,8.638187507,5.440116941,-0.008422930662
0.845,8.634809551,5.432792344,-0.008422930662
0.85,8.631464742,5.4255501,-0.008422930662
0.855,8.628152692,5.418389254,-0.008422930662
0.86,8.624872996,5.411308806,-0.008422930662
0.865,8.621625241,5.404307721,-0.008422930662
0.87,8.618409006,5.39738493,-0.008422930662
0.875,8.615223861,5.390539342,-0.008422930662
0.88,8.612069375,5.383769846,-0.008422930662
0.885,8.608945113,5.377075319,-0.008422930662
0.89,8.605850642,5.370454626,-0.008422930662
0.895,8.602785527,5.36390663,-0.008422930662
0.9,8.599749339,5.357430192,-0.008422930662
0.905,8.59674165,5.351024174,-0.008422930662
0.91,8.593762037,5.344687443,-0.008422930662
0.915,8.590810081,5.338418875,-0.008422930662
0.92,8.58788537,5.332217353,-0.008422930662
